source,source_text_id,source_sentence_id,language_stage,script_type,genre,period,hieroglyphs,mdc,sign_sequence,transliteration_gold,translation,lemma_sequence,upos,glossing,grammar_notes,source_ref,review_status,formula_type,deity,recipient,offering_items,formula_slot,display_sequence,normalized_reading_order,alt_transliterations,variant_writing_note,morphology_note,syntax_note,aesthetic_arrangement_flag
TLA,TLA_EARLIER_011,S011,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓇋𓏲 𓐛𓏤 𓈖 𓀋𓏲𓏛𓏥 𓎢 𓂋 𓄞𓂧𓏏𓂝 𓎢 𓁷𓏤 𓌻𓂋𓇋𓇋𓏏𓈇 𓎟𓏏,w gs n atjpw k r shdit k hr mryt nbt,ꞽw gs n ꜣṯp.w =k r šdi̯.t =k ḥr mr.yt nb.t,ꞽw gs n ꜣṯp.w =k r šdi̯.t =k ḥr mr.yt nb.t,"(Aber nur) die Hälfte deiner Ladung wird das sein, was du überall zerstreut bergen (wörtl.: auf jedem Ufer retten) kannst.",851515|ꞽw 168260|gs 79800|n.ꞽ 324|ꜣṯp.w 10110|=k 91900|r 158710|šdi̯ 10110|=k 400090|ḥr 72540|mr.yt 81660|nb,PART NOUN ADJ NOUN PRON ADP VERB PRON ADP NOUN ADJ,PTCL N.m PREP-adjz:m.sg N.m:stpr -2sg.m PREP V\rel.f.sg:stpr -2sg.m PREP N.f ADJ:f.sg,,data/raw/tla_earlier/tla_earlier.parquet#row=11,seed,,,,,,𓇋𓏲 𓐛𓏤 𓈖 𓀋𓏲𓏛𓏥 𓎢 𓂋 𓄞𓂧𓏏𓂝 𓎢 𓁷𓏤 𓌻𓂋𓇋𓇋𓏏𓈇 𓎟𓏏,w gs n atjpw k r shdit k hr mryt nbt,,,,,False
TLA,TLA_EARLIER_012,S012,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓅱𓈙𓃀𓏴𓅱𓀁 𓌃𓂧𓏏𓀁 𓏇𓇋 𓆣𓂋𓏏 𓇋𓅓 𓋴,wshbw mdwt m khprt m s,wšb.w md(w).t mꞽ ḫpr.t ꞽm =s,wšb.w md(w).t mꞽ ḫpr.t ꞽm =s,"Einer, der die Rede beantwortet entsprechend dem, was in ihr vorgekommen ist.",50340|wšb 78030|mdw.t 67820|mꞽ 116230|ḫpr 400007|m 10090|=s,VERB NOUN ADP VERB ADP PRON,V\ptcp.act.m.sg N.f PREP V\ptcp.act.f.sg PREP:stpr -3sg.f,,data/raw/tla_earlier/tla_earlier.parquet#row=12,seed,,,,,,𓅱𓈙𓃀𓏴𓅱𓀁 𓌃𓂧𓏏𓀁 𓏇𓇋 𓆣𓂋𓏏 𓇋𓅓 𓋴,wshbw mdwt m khprt m s,,,,,False
TLA,TLA_EARLIER_013,S013,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓍯𓎝𓄣,wah-b,wꜣḥ-ꞽb,wꜣḥ-ꞽb,(Personenbeischrift:) Wach-ib.,711342|Wꜣḥ-ꞽb,PROPN,PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=13,seed,,,,,,𓍯𓎝𓄣,wah-b,,,,,False
TLA,TLA_EARLIER_014,S014,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓇋𓂋 𓏏𓅓𓋴𓏞𓏛 𓋴𓊪𓏏𓂏 𓆑𓏭 𓂧𓈙𓂋𓏯 𓋴𓊪𓏏𓂏 𓆑 𓊪𓏲 𓏇𓇋 𓇋𓁹𓅂𓈒𓏥 𓏏𓅓𓋴𓏏𓏞𓆮𓈒𓏥,r tms sptdu f dshr sptdu f pw m rtw tmst,ꞽr tms sp.t.DU =fꞽ dšr sp.t.DU =f(ꞽ) pw mꞽ ꞽrtꞽw tms.t,ꞽr tms sp.t.DU =fꞽ dšr sp.t.DU =f(ꞽ) pw mꞽ ꞽrtꞽw tms.t,"(Glosse C:) Was (die Textstelle) ""gerötet/rötlich sind seine beiden (Wund)ränder"" angeht:
das bedeutet, dass seine beiden (Wund)ränder rot sind, wie die Färbung von Körnern/Samen der $ṯms.t$-Pflanze.",28160|ꞽr 175540|ṯms 132440|sp.t 10060|=fꞽ 180690|dšr 132440|sp.t 10060|=fꞽ 59741|pw 67820|mꞽ 30010|ꞽrt.w 863012|ṯms.t,ADP VERB NOUN PRON VERB NOUN PRON PRON ADP NOUN NOUN,PREP V\tam.act N.f:du:stpr -3sg.m V\tam.act N.f:du:stpr -3sg.m dem PREP N.m:stc N.f,,data/raw/tla_earlier/tla_earlier.parquet#row=14,seed,,,,,,𓇋𓂋 𓏏𓅓𓋴𓏞𓏛 𓋴𓊪𓏏𓂏 𓆑𓏭 𓂧𓈙𓂋𓏯 𓋴𓊪𓏏𓂏 𓆑 𓊪𓏲 𓏇𓇋 𓇋𓁹𓅂𓈒𓏥 𓏏𓅓𓋴𓏏𓏞𓆮𓈒𓏥,r tms sptdu f dshr sptdu f pw m rtw tmst,,,,,False
TLA,TLA_EARLIER_015,S015,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓅱𓄐𓃀 𓂋 𓆑 𓈙𓐟𓅱𓄓 𓊪𓈖 𓇋𓏶 𓂋𓏤 𓆑,wab r f shsaw pn m r f,wꜥb r =f šsꜣ.w pn ꞽm(.ꞽ) rʾ =f,wꜥb r =f šsꜣ.w pn ꞽm(.ꞽ) rʾ =f,"Rein ist auch diese Zunge, die in seinem Mund ist.",44430|wꜥb 28170|ꞽr 10050|=f 157110|šsꜣ.w 59920|pn 25130|ꞽm.ꞽ 92560|rʾ 10050|=f,VERB PART PRON NOUN PRON ADJ NOUN PRON,V\ptcp.act.m.sg PTCL:stpr -3sg.m N dem.m.sg PREP-adjz:m.sg N.m:stpr -3sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=15,seed,,,,,,𓅱𓄐𓃀 𓂋 𓆑 𓈙𓐟𓅱𓄓 𓊪𓈖 𓇋𓏶 𓂋𓏤 𓆑,wab r f shsaw pn m r f,,,,,False
TLA,TLA_EARLIER_016,S016,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓌂𓁷𓄣,khrp-hr-b,ḫrp-ḥr(.ꞽ)-ꞽb,ḫrp-ḥr(.ꞽ)-ꞽb,Leiter der Mitte,882338|ḫrp-ḥr.ꞽ-ꞽb,NOUN,TITL,,data/raw/tla_earlier/tla_earlier.parquet#row=16,seed,,,,,,𓌂𓁷𓄣,khrp-hr-b,,,,,False
TLA,TLA_EARLIER_017,S017,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓍒𓏏𓂻 𓃀𓈟𓈘 𓅓 𓊵𓏏𓊪 𓄤 𓅨𓂋𓏏,djait ba m htp nfr wrt,ḏꜣi̯.t bꞽꜣ m ḥtp nfr wr.t,ḏꜣi̯.t bꞽꜣ m ḥtp nfr wr.t,Das sehr schöne friedliche Durchkreuzen des Himmelsozeans.,181780|ḏꜣi̯ 54320|bꞽꜣ 64362|m 111260|ḥtp.w 400458|nfr 450161|wr.t,VERB NOUN ADP NOUN ADV ADV,V\inf N.m PREP N.m ADV ADV,,data/raw/tla_earlier/tla_earlier.parquet#row=17,seed,,,,,,𓍒𓏏𓂻 𓃀𓈟𓈘 𓅓 𓊵𓏏𓊪 𓄤 𓅨𓂋𓏏,djait ba m htp nfr wrt,,,,,False
TLA,TLA_EARLIER_018,S018,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓋴𓍿𓐏𓉲𓎱𓎰,stji-hab,sṯi̯-ḥꜣb,sṯi̯-ḥꜣb,Festduftöl.,149100|sṯꞽ-ḥꜣb,NOUN,N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=18,seed,,,,,,𓋴𓍿𓐏𓉲𓎱𓎰,stji-hab,,,,,False
TLA,TLA_EARLIER_019,S019,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓁹𓂋 𓎢 𓂋 𓎢 𓇋𓂋 𓆑 𓂋 𓅓𓂝,rr k r k r f r m,ꞽrr =k r =k ꞽr =f r m,ꞽrr =k r =k ꞽr =f r m,Warum handelst du also gegen dich (selbst)?,28550|ꞽri̯ 10110|=k 91902|r 10110|=k 28170|ꞽr 10050|=f 91903|r 64430|m,VERB PRON ADP PRON PART PRON ADP PRON,V~ipfv.act:stpr -2sg.m PREP:stpr -2sg.m PTCL:stpr -3sg.m PREP Q,,data/raw/tla_earlier/tla_earlier.parquet#row=19,seed,,,,,,𓁹𓂋 𓎢 𓂋 𓎢 𓇋𓂋 𓆑 𓂋 𓅓𓂝,rr k r k r f r m,,,,,False
TLA,TLA_EARLIER_020,S020,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓇋𓏲 𓂝𓃹𓈖𓀜 𓄣𓏤 𓎢,w awn b k,ꞽw ꜥwn ꞽb =k,ꞽw ꜥwn ꞽb =k,Du bist habgierig;,851515|ꞽw 36170|ꜥwn+(ꞽb) 23290|ꞽb 10110|=k,PART VERB NOUN PRON,PTCL V\tam.act N.m:stpr -2sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=20,seed,,,,,,𓇋𓏲 𓂝𓃹𓈖𓀜 𓄣𓏤 𓎢,w awn b k,,,,,False
TLA,TLA_EARLIER_021,S021,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓂋𓂞 𓂜 𓄡𓂋𓂧𓀔𓀀 𓂜 𓅨𓂋𓀀 𓂋𓏤𓊪𓏲,rdi n khrd n wr r-pw,rdi̯ n ẖrd n wr rʾ-pw,rdi̯ n ẖrd n wr rʾ-pw,(Es) werde dem Kind oder dem Großen gegeben.,96700|rḏi̯ 400055|n 124480|ẖrd 400055|n 47280|wr 92850|rʾ-pw,VERB ADP NOUN ADP NOUN PART,V\tam.pass PREP N.m PREP N.m PTCL,,data/raw/tla_earlier/tla_earlier.parquet#row=21,seed,,,,,,𓂋𓂞 𓂜 𓄡𓂋𓂧𓀔𓀀 𓂜 𓅨𓂋𓀀 𓂋𓏤𓊪𓏲,rdi n khrd n wr r-pw,,,,,False
TLA,TLA_EARLIER_022,S022,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓄿𓏏𓏯𓇳 𓊪𓏲 𓎢𓏏𓏏𓅪 𓂧𓄿𓇋𓂋𓌗𓀜𓄣𓏤,at pw ktt dar-b,ꜣ.t pw kt.t dꜣꞽr-ꞽb,ꜣ.t pw kt.t dꜣꞽr-ꞽb,(Denn) sich zu beherrschen (wörtl.: das Herz zu bezwingen) dauert nur einen kurzen Augenblick.,5|ꜣ.t 59741|pw 165730|ktt 177750|dꜣr+(ꞽb),NOUN PRON ADJ VERB,N.f dem ADJ:f.sg V\inf,,data/raw/tla_earlier/tla_earlier.parquet#row=22,seed,,,,,,𓄿𓏏𓏯𓇳 𓊪𓏲 𓎢𓏏𓏏𓅪 𓂧𓄿𓇋𓂋𓌗𓀜𓄣𓏤,at pw ktt dar-b,,,,,False
TLA,TLA_EARLIER_023,S023,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓏟𓋴𓌉 𓅓𓂋𓂖 𓁹𓂋𓎛𓎿𓊃𓊃𓏏𓎟𓆑 𓂋𓈖𓋴𓇋 𓅭 𓇋𓃀𓇋,shdj-zkhaww m-r-hmw-ka rr-hzzt-nbf rns za b,sḥḏ-zẖꜣ.ww (ꞽ)m(.ꞽ)-rʾ-ḥm(.w)-kꜣ ꞽrr-ḥzz.t-nb=f rnsꞽ zꜣ ꞽbꞽ,sḥḏ-zẖꜣ.ww (ꞽ)m(.ꞽ)-rʾ-ḥm(.w)-kꜣ ꞽrr-ḥzz.t-nb=f rnsꞽ zꜣ ꞽbꞽ,"Aufseher der Schreiber, Vorsteher der Totenpriester, Rensis Sohn Ibi",450652|sḥḏ-zẖꜣ.ww 800075|ꞽm.ꞽ-rʾ-ḥm.w-kꜣ 852869|ꞽrr-ḥzz.t-nb=f 704225|Rnsꞽ 125510|zꜣ 400216|Ꞽbꞽ,NOUN NOUN NOUN PROPN NOUN PROPN,TITL TITL TITL PERSN N.m PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=23,seed,,,,,,𓏟𓋴𓌉 𓅓𓂋𓂖 𓁹𓂋𓎛𓎿𓊃𓊃𓏏𓎟𓆑 𓂋𓈖𓋴𓇋 𓅭 𓇋𓃀𓇋,shdj-zkhaww m-r-hmw-ka rr-hzzt-nbf rns za b,,,,,False
TLA,TLA_EARLIER_024,S024,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓋴𓇋𓄿𓏏𓂿 𓈖 𓋴𓇋𓂝𓏏𓂿 𓅃,sat n sat hr,sꞽꜣt n sꞽꜣt ḥr,sꞽꜣt n sꞽꜣt ḥr,"Verletzung für den, der Horus verletzt! (???)",127960|sꞽꜣṯ 78870|n 127960|sꞽꜣṯ 107500|Ḥr.w,VERB ADP VERB PROPN,V PREP V DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=24,seed,,,,,,𓋴𓇋𓄿𓏏𓂿 𓈖 𓋴𓇋𓂝𓏏𓂿 𓅃,sat n sat hr,,,,,False
TLA,TLA_EARLIER_025,S025,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓂝𓇋𓇋 𓁹𓅃 𓁷 𓆓𓈖𓎛𓆃 𓈖𓇋 𓌢𓈖 𓆑 𓋴𓏏𓈙,miy rt-hrw hr djnh n sn f stsh,ꞽmi̯.y ꞽr(.t)-ḥr.w ḥr ḏnḥ n.ꞽ sn =f stš,ꞽmi̯.y ꞽr(.t)-ḥr.w ḥr ḏnḥ n.ꞽ sn =f stš,Gebt das Horusauge auf den Flügel seines Bruders Seth.,851706|ꞽmi̯ 28410|ꞽr.t-Ḥr.w 400090|ḥr 184370|ḏnḥ 79800|n.ꞽ 136230|sn 10050|=f 148520|Stẖ,VERB NOUN ADP NOUN ADJ NOUN PRON PROPN,V\imp.pl N.f PREP N.m PREP-adjz:m.sg N.m:stpr -3sg.m DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=25,seed,,,,,,𓂝𓇋𓇋 𓁹𓅃 𓁷 𓆓𓈖𓎛𓆃 𓈖𓇋 𓌢𓈖 𓆑 𓋴𓏏𓈙,miy rt-hrw hr djnh n sn f stsh,,,,,False
TLA,TLA_EARLIER_026,S026,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓍹𓃹𓈖𓇋𓋴𓍺 𓊪𓇋 𓊃𓎡𓂋 𓈖𓇋 𓂋𓏤𓋴𓍬𓍬𓍬𓈉,wns p zkr n r-stjapl,wnꞽs pꞽ zkr n.ꞽ rʾ-sṯꜣ.PL,wnꞽs pꞽ zkr n.ꞽ rʾ-sṯꜣ.PL,Unas ist Sokar von Ro-setau.,800001|Wnꞽs 851267|pꞽ 146890|Zkr 79800|n.ꞽ 93110|Rʾ-sṯꜣ.w,PROPN PRON PROPN ADJ PROPN,ROYLN dem DIVN PREP-adjz:m.sg TOPN,,data/raw/tla_earlier/tla_earlier.parquet#row=26,seed,,,,,,𓍹𓃹𓈖𓇋𓋴𓍺 𓊪𓇋 𓊃𓎡𓂋 𓈖𓇋 𓂋𓏤𓋴𓍬𓍬𓍬𓈉,wns p zkr n r-stjapl,,,,,False
